date,active,fat_burning,cardio,peak
2024-09-09,65,63,2,0
2024-09-10,11,11,0,0
2024-09-11,19,19,0,0
2024-09-12,133,63,70,0
2024-09-13,14,14,0,0
2024-09-14,57,57,0,0
2024-09-16,44,44,0,0
2024-09-17,122,76,42,4
2024-09-18,13,13,0,0
2024-09-19,104,50,52,2
2024-09-20,31,27,4,0
2024-09-21,22,18,4,0
2024-09-23,60,50,10,0
2024-09-24,91,39,52,0
2024-09-25,7,7,0,0
2024-09-26,23,23,0,0
2024-09-27,14,14,0,0
2024-09-28,1,1,0,0
2024-09-30,39,37,2,0
2024-10-01,27,27,0,0
2024-10-02,4,4,0,0
2024-10-03,90,50,40,0
2024-10-04,5,5,0,0
2024-10-05,12,12,0,0
2024-10-07,21,21,0,0
2024-10-08,183,123,58,2
